"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5963","Access Account Details","chromium","Tue Oct 14 12:49:21 EEST 2025","passed","Tue Oct 14 12:49:27 EEST 2025","My Account","account.spec.ts","",""
"","7391","Fill contact form and verify success message","chromium","Tue Oct 14 12:49:27 EEST 2025","passed","Tue Oct 14 12:49:34 EEST 2025","Contact","contact.spec.ts","",""
"","7103","Should upload a 3mb-file.pdf file","chromium","Tue Oct 14 12:49:31 EEST 2025","passed","Tue Oct 14 12:49:38 EEST 2025","Upload File","upload.spec.ts","",""
"","3868","Verify heading text is visible using text selector.","chromium","Tue Oct 14 12:49:27 EEST 2025","passed","Tue Oct 14 12:49:31 EEST 2025","Home","home.spec.js","",""
"","4014","Verify home link is enabled using text and css selector.","chromium","Tue Oct 14 12:49:27 EEST 2025","passed","Tue Oct 14 12:49:31 EEST 2025","Home","home.spec.js","",""
"","1108","get started link","chromium","Tue Oct 14 12:49:26 EEST 2025","passed","Tue Oct 14 12:49:28 EEST 2025","","example.spec.ts","",""
"","3472","Open HomePage and verify title","chromium","Tue Oct 14 12:49:27 EEST 2025","passed","Tue Oct 14 12:49:31 EEST 2025","Home","home.spec.js","",""
"","3249","Verify text for all nav links.","chromium","Tue Oct 14 12:49:30 EEST 2025","passed","Tue Oct 14 12:49:34 EEST 2025","Home","home.spec.js","",""
"","5031","Verify login and register is visible","chromium","Tue Oct 14 12:49:21 EEST 2025","passed","Tue Oct 14 12:49:26 EEST 2025","Account Page","account.spec.ts","",""
"","5918","Should upload a logotitle.png file","chromium","Tue Oct 14 12:49:31 EEST 2025","passed","Tue Oct 14 12:49:37 EEST 2025","Upload File","upload.spec.ts","",""
"","5197","Verify Recent Posts count and verify the lenght of each list item","chromium","Tue Oct 14 12:49:21 EEST 2025","passed","Tue Oct 14 12:49:26 EEST 2025","Blog","blog.spec.ts","",""
"","5993","Should upload a test file on a hidden input field","chromium","Tue Oct 14 12:49:34 EEST 2025","passed","Tue Oct 14 12:49:40 EEST 2025","Upload File","upload.spec.ts","",""
"","3138","Click get started button using CSS selector","chromium","Tue Oct 14 12:49:27 EEST 2025","passed","Tue Oct 14 12:49:30 EEST 2025","Home","home.spec.js","",""
"","5091","Open About page and verify title","chromium","Tue Oct 14 12:49:21 EEST 2025","passed","Tue Oct 14 12:49:26 EEST 2025","Home","about.spec.ts","",""
"","738","has title","chromium","Tue Oct 14 12:49:26 EEST 2025","passed","Tue Oct 14 12:49:27 EEST 2025","","example.spec.ts","",""
"","5847","Access Orders","chromium","Tue Oct 14 12:49:21 EEST 2025","passed","Tue Oct 14 12:49:27 EEST 2025","My Account","account.spec.ts","",""
"","3352","Verify text for one nav link (Blog).","chromium","Tue Oct 14 12:49:31 EEST 2025","passed","Tue Oct 14 12:49:34 EEST 2025","Home","home.spec.js","",""
"","3472","Verify search icon is visible using xpath selector.","chromium","Tue Oct 14 12:49:28 EEST 2025","passed","Tue Oct 14 12:49:31 EEST 2025","Home","home.spec.js","",""
"","6044","Access Downloads","chromium","Tue Oct 14 12:49:21 EEST 2025","passed","Tue Oct 14 12:49:27 EEST 2025","My Account","account.spec.ts","",""
"","3590","Verify text for all nav links using loop.","chromium","Tue Oct 14 12:49:31 EEST 2025","failed","Tue Oct 14 12:49:35 EEST 2025","Home","home.spec.js","",""
"","7092","3mb upload test file","chromium","Tue Oct 14 12:49:34 EEST 2025","passed","Tue Oct 14 12:49:41 EEST 2025","Upload File","upload.spec.ts","",""
"","6013","Should upload a test file logotitle.png","chromium","Tue Oct 14 12:49:34 EEST 2025","passed","Tue Oct 14 12:49:40 EEST 2025","Upload File","upload.spec.ts","",""
